# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/112
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified	0.000192496486939	0.000271363726071	0.00634613179055	0.000848308745381	0.0	0.00027266530334	0.00410545423843	0.0210082099286
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae_sedis;g__Cadophora	0.0	0.00139382277482	0.0	0.000565539163587	0.0	2.92141396436e-05	0.000263846673421	3.06913220287e-05
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Acephala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000629172101588
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala	0.0	0.000209690151964	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified	0.000288744730409	0.0	0.00730187453009	0.00045828173601	0.00551903757906	0.00125620800467	0.00765155352921	0.00890048338832
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Meliniomyces	0.0	6.1673574107e-05	0.0	0.000399777684605	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified	1.92496486939e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__unidentified;g__unidentified	0.0	0.0	0.0	5.85040514056e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Helvellaceae;g__unidentified	3.84992973878e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Meyerozyma	0.0	1.23347148214e-05	0.0	9.75067523426e-06	0.0	4.86902327393e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Galactomyces	0.0	0.00194888494178	0.00112140481439	0.00132609183186	0.00282153044772	0.00327198364008	0.000918186423506	0.0156372285736
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Eremotheciaceae;g__Eremothecium	8.98316939049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis;g__Candida	0.0312806791276	0.422562660351	0.0953576389331	0.258958432871	0.170253007565	0.272012854221	0.151300236407	0.146382260416
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis;g__Kodamaea	0.0	0.00242993881981	0.0011723777605	0.00186237896974	0.0	0.00104197098062	0.000949848024316	0.00434282206706
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Clavispora	0.0	0.00104845075982	0.000535215934143	0.000497284436947	0.00241845466948	0.00141201674944	0.000284954407295	0.00070590040666
