OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LH + LB/30_mean	C/0_mean	LH + LB/112_mean	C/30_mean	LH/112_mean	LB/30_mean	LB/112_mean	C/112_mean	taxonomy
DQ386306	15.2097435897	0.0334028396644	0.641328943572	1.0	11.6666666667	0.0	0.0	0.0	0.0	1.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula; s__Rhodotorula_mucilaginosa
New.ReferenceOTU33	15.0780035114	0.0350124123928	0.641328943572	1.0	1543.0	185.666666667	751.333333333	1882.0	569.5	733.333333333	2173.0	263.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_quercitrusa
AB235999	15.0410447761	0.0354768553674	0.641328943572	1.0	126.0	62.0	13.0	39.5	0.0	46.3333333333	2.0	0.0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_rugulosa
New.CleanUp.ReferenceOTU266	15.0393852065	0.0354978451626	0.641328943572	1.0	4.0	0.0	0.333333333333	1.5	0.0	2.66666666667	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
AM901894	15.0064474533	0.0359168466215	0.641328943572	1.0	0.0	0.0	0.666666666667	0.5	0.5	0.0	8.0	3.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HQ260041	14.7500643501	0.039340057745	0.641328943572	1.0	255.333333333	150.333333333	7.33333333333	95.0	0.0	144.666666667	113.0	7.66666666667	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_rugulosa
JN394753	14.5286666667	0.0425388458502	0.641328943572	1.0	0.0	36.6666666667	0.0	9.0	0.0	2.66666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FR799499	14.25	0.0469093755356	0.641328943572	1.0	0.0	0.0	0.0	6.0	0.0	0.0	55.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_sp_0210LASC53Y_2
New.ReferenceOTU17	14.2075351213	0.0476108830337	0.641328943572	1.0	50.0	6.66666666667	158.0	0.0	0.0	0.0	599.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AY123741	14.1945525292	0.0478272862378	0.641328943572	1.0	4.0	2.0	0.0	4.5	1.0	7.66666666667	3.0	1.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Gibberella; s__Gibberella_fujikuroi
New.ReferenceOTU40	14.1680249281	0.0482723061961	0.641328943572	1.0	2.33333333333	55.0	0.0	4.5	0.0	9.66666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedDikarya
AM901819	14.1568627451	0.0484607049604	0.641328943572	1.0	14.3333333333	9.33333333333	497.333333333	48.5	660.5	31.0	1805.0	456.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
GU721692	14.140875596	0.0487317282932	0.641328943572	1.0	0.333333333333	3.33333333333	0.333333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
JF300397	14.0142857143	0.0509278507235	0.641328943572	1.0	283.666666667	120.0	58.6666666667	204.5	84.5	664.333333333	137.0	95.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
GU327541	14.0096385542	0.0510101877054	0.641328943572	1.0	17.0	1.66666666667	0.0	17.0	33.0	16.3333333333	111.0	0.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Bulleribasidium; s__Bulleribasidium_oberjochense
GU721809	13.9234760052	0.0525592664841	0.641328943572	1.0	0.0	0.0	0.0	9.5	0.0	2.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__unidentified; s__unculturedCladosporium
AF294700	13.7901622187	0.0550418928284	0.641328943572	1.0	229.666666667	2.33333333333	89.6666666667	29.0	0.0	151.333333333	0.0	15.3333333333	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_prolifica
FM178236	13.7661659514	0.0555000890294	0.641328943572	1.0	21.0	14.3333333333	0.0	23.0	0.0	13.3333333333	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__unidentified; s__unculturedClavicipitaceae
FJ758739	13.7620286086	0.0555794439611	0.641328943572	1.0	0.666666666667	16.0	0.0	0.0	0.0	1.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ525422	13.7596190476	0.0556257079308	0.641328943572	1.0	3.33333333333	0.0	0.0	27.0	0.0	13.3333333333	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__ascomycete_sp_5/97_81
GU328514	13.7287179487	0.0562221690774	0.641328943572	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	12.6666666667	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
New.ReferenceOTU10	13.7134986226	0.056518097562	0.641328943572	1.0	13.6666666667	83.3333333333	0.0	63.5	30.5	32.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_sp_CBS_10854
GQ514861	13.6192837466	0.0583821913769	0.641328943572	1.0	49.0	3.33333333333	0.333333333333	11.0	32.0	89.3333333333	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU11	13.5527896996	0.0597316825501	0.641328943572	1.0	80.3333333333	3.0	161.0	0.0	0.0	172.333333333	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Phallales; f__Phallaceae; g__Phallus; s__Phallus_rugulosus
EU192362	13.4976782129	0.0608718282937	0.641328943572	1.0	31.6666666667	8.33333333333	18.6666666667	55.5	15.5	7.66666666667	837.0	207.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU3	13.421179302	0.0624875695176	0.641328943572	1.0	6.66666666667	2.66666666667	0.0	13.0	0.0	1.66666666667	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
EU288196	13.3476190476	0.0640782469426	0.641328943572	1.0	1994.66666667	367.333333333	1107.0	5226.0	1530.5	4019.66666667	221.0	847.666666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_tropicalis
HM487058	13.3233556833	0.0646110033233	0.641328943572	1.0	8.0	132.666666667	0.0	9.0	0.0	21.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedDikarya
HQ630982	13.2783801874	0.0656092801567	0.641328943572	1.0	31.6666666667	163.333333333	0.0	35.0	28.0	53.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Trichosphaeriales; f__Incertae_sedis; g__Nigrospora; s__Nigrospora_sp_TMS_2011
