OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C/0_mean	S2-3H-LATE/56_mean	C-3H-LATE/56_mean	S2-NS/56_mean	S2-3H/56_mean	C-NS/56_mean	taxonomy
New.CleanUp.ReferenceOTU804	11.962962963	0.0352988128756	0.160134743866	1.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
New.CleanUp.ReferenceOTU973	11.962962963	0.0352988128756	0.160134743866	1.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
GU065505	11.9298245614	0.0357621016079	0.160134743866	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FN562027	11.9298245614	0.0357621016079	0.160134743866	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
HQ631061	11.9298245614	0.0357621016079	0.160134743866	1.0	3.66666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Curvularia; s__Curvularia_sp_TMS_2011
HQ630971	11.9298245614	0.0357621016079	0.160134743866	1.0	3.33333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ762403	11.9298245614	0.0357621016079	0.160134743866	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
AY929128	11.9298245614	0.0357621016079	0.160134743866	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
AM901751	11.9298245614	0.0357621016079	0.160134743866	1.0	5.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
JN906165	11.9298245614	0.0357621016079	0.160134743866	1.0	5.33333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU9	11.9298245614	0.0357621016079	0.160134743866	1.0	14.3333333333	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Cryptococcus; s__Cryptococcus_sp_S1D
New.CleanUp.ReferenceOTU21	11.9298245614	0.0357621016079	0.160134743866	1.0	7.66666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Occultifur; s__Occultifur_sp_TMS_2011
New.CleanUp.ReferenceOTU80	11.9298245614	0.0357621016079	0.160134743866	1.0	0.0	0.0	0.0	0.0	0.0	6.33333333333	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedbasidiomycete_yeast
New.CleanUp.ReferenceOTU98	11.9298245614	0.0357621016079	0.160134743866	1.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
New.CleanUp.ReferenceOTU175	11.9298245614	0.0357621016079	0.160134743866	1.0	1.66666666667	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
