# Constructed from biom file
#OTU ID	C/0	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia	0.0	0.0	0.0038251810857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Hyphopichia	0.0	0.0	0.00101733539513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia	0.00034413446272	0.0170253867113	0.01086514202	0.00247221671545	0.0	0.00351565302657	0.000297117955828	0.0	0.0105384464851	0.00222390211315	0.000114826256937
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania	1.56424755782e-05	0.0147908948059	0.023195247009	0.123412591979	0.0194195411032	0.0176021811398	0.00183222739428	0.0	0.00486334084699	0.0543581449316	0.00669273040435
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	0.0	0.0	0.0	0.0	0.0	0.00160237246789	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycodaceae;g__Hanseniaspora	0.0024402261902	0.0285438320815	0.100268576544	0.010087110655	0.0	0.0102719249994	0.000346637615133	0.0	0.0413855085489	0.00443022397243	0.00082565546655
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Trichomonascus	7.03911401018e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__unidentified;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1743699763e-05	0.00900108997574	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe	0.011755320397	0.0	0.00337755351184	0.000454794584446	0.0	1.19580034917e-05	0.0	3.33511205977e-05	0.000500105094549	3.51605077177e-05	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Gnomonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00977187833511	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium	0.0	0.0	0.00594123870758	0.00333516028594	0.0	0.0	0.0	0.0	0.0	0.0	0.00199578970391
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__unidentified	0.0390905464699	0.0	0.00374379425409	0.00522430702133	0.0128247986628	0.00269055078564	0.0	0.0	0.00228308847511	0.00632010126226	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium	0.0	0.0	0.0	0.0	0.0	0.00356348504054	0.0	0.0	0.0	0.0	0.00141619050223
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Hypocrea	0.000211173420305	0.0	0.000325547326443	0.000186582393619	0.0	0.000597900174587	4.95196593047e-05	0.000867129135539	0.000471113494865	0.00106360535846	0.00464226153047
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.00143910775319	0.0	0.00394726133312	0.00654204517626	0.0	0.00707913806711	0.00183222739428	0.010939167556	0.00726964362076	0.0131148693787	0.00290346392542
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Acremonium	0.242646081169	1.44160768089e-05	0.0532269878734	0.0433104381188	0.0118826925999	0.0341520579724	0.0	3.33511205977e-05	0.0512643961412	0.0	0.00949230390683
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Myrothecium	2.34637133673e-05	0.0	0.0	0.0	0.0	0.00112405232822	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Stilbella	0.0	0.0	0.0	0.0	0.0	0.0	0.0115876002773	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella	0.0694916977561	0.000187408998515	0.015463498006	0.0124427133745	0.0	0.0125559036663	0.000618995741309	0.0202441302028	0.0243384479347	0.00541471818853	0.00290893184241
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria	0.000125139804625	0.0	4.06934158053e-05	0.0	0.0	1.19580034917e-05	0.0	0.0	3.6239499605e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Hirsutella	0.0	0.0	0.0	0.00369666367357	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified	0.000132961042415	0.0	0.0	0.000163259594417	0.0	0.00123167435965	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis;f__Glomerellaceae;g__Glomerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis;f__Plectosphaerellaceae;g__Musicillium	0.0	0.0	0.0	0.0	0.00793192523933	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis;f__Plectosphaerellaceae;g__Plectosphaerella	5.47486645236e-05	0.0	0.0	0.0	3.03905181583e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000967821308473
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phyllachorales;f__Phyllachoraceae;g__Colletotrichum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00635371955054
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Phialemonium	0.000398883127244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Incertae_sedis;g__Nigrospora	0.00739106971069	1.44160768089e-05	0.0269390412631	0.00971394586778	0.0	0.00438858728147	0.0	0.0	0.00336302556334	0.00508069336521	5.46791699702e-06
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Truncatella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hyponectriaceae;g__Microdochium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00903815368196	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Xylaria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__unidentified	0.0	0.00184525783153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unidentified;f__unidentified;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.000860976251405	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified	0.262066214599	0.0146611501146	0.0776837307724	0.079355824286	0.0025528035253	0.0664506254036	0.0647221947113	0.0655016008538	0.0939327829761	0.00157343272037	0.0151953413347
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus	0.0	0.0	0.00447627573859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Cystolepiota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita	0.0	0.0	0.0	0.0	0.0	0.00339607299165	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Alnicola	0.000351955700509	0.00311387259071	0.000366240742248	1.16613996012e-05	0.0	0.0	0.0160443696147	0.0115728388474	0.0	0.0	0.00938294556689
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius	5.47486645236e-05	0.0022777401358	0.00789452266623	0.0209555350833	0.00723294332168	0.000179370052376	0.00309497870655	0.00246798292423	7.247899921e-06	0.00851763299462	0.0131175328759
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Crepidotus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048081994304	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Inocybe	0.0	0.00122536652875	0.00671441360788	0.000221566592422	0.000151952590792	0.00139908640853	0.0	0.0	0.0056968493379	0.00966913962238	1.0935833994e-05
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00960512273212	0.0	2.63703807883e-05	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma	0.0	0.00382026035435	0.00585985187597	0.00166758014297	0.0	0.0	0.0	0.0	0.0	0.00184592665518	0.00582879951882
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Flagelloscypha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Flammulina	0.0	0.0	0.0	0.0	0.00966418477435	0.00383851912085	0.0	0.0	0.00422552565394	0.00832425020217	0.00379473439593
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Gymnopus	0.0	0.0	0.0	0.0	0.0	0.00465166335829	0.0	0.0	0.011835820571	0.00850005274076	0.00940481723487
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Marasmius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00296361101238
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Schizophyllaceae;g__Schizophyllum	7.82123778909e-05	0.0	0.0	3.49841988035e-05	0.00130679228081	0.0	0.0	0.0	0.00292815156808	0.0	0.0
