"study"	"domain"	"ID"	"key"	"avg_sequence_length.initial"	"Total.Sequences.initial"	"avg_sequence_length.flashed"	"Total.Sequences.flashed"	"flash.pct.calc"	"Total.Sequences.picked"	"pick.pct.calc"
"15hilhmc"	"bacteria"	"570"	"15hilhmc.bacteria.570"	250.5146961855	39432	291.993133839	39032	0.989855954554676	35232	0.902643984423038
"15hilhmc"	"bacteria"	"571"	"15hilhmc.bacteria.571"	250.51342946	49518	292.954798345	49069	0.990932590169231	44665	0.910248833275591
"15hilhmc"	"bacteria"	"572"	"15hilhmc.bacteria.572"	250.516395249	45379	292.950233593	44950	0.990546287930541	40402	0.898820912124583
"15hilhmc"	"bacteria"	"575"	"15hilhmc.bacteria.575"	250.016201471	33176	291.991884306	32776	0.987943091391367	30440	0.928728337808152
"15hilhmc"	"bacteria"	"576"	"15hilhmc.bacteria.576"	249.995735179	44785	291.994537123	44299	0.98914815228313	41434	0.935325853856746
"15hilhmc"	"bacteria"	"577"	"15hilhmc.bacteria.577"	250.514806744	59196	292.953555928	58522	0.988614095546996	54754	0.935613957144322
"15hilhmc"	"bacteria"	"580"	"15hilhmc.bacteria.580"	250.5152710735	43088	292.953973914	42628	0.989324173783884	40243	0.944050858590598
"15hilhmc"	"bacteria"	"581"	"15hilhmc.bacteria.581"	250.5159082445	34919	291.996183978	34591	0.99060683295627	32176	0.930184151947038
"15hilhmc"	"bacteria"	"582"	"15hilhmc.bacteria.582"	250.5164948455	44135	291.995053133	43664	0.98932819757562	40944	0.937706119457677
"15hilhmc"	"fungi"	"520"	"15hilhmc.fungi.520"	248.8596938775	41944	277.906418776	40179	0.957920083921419	34361	0.855197988999228
"15hilhmc"	"fungi"	"521"	"15hilhmc.fungi.521"	248.6103589085	60489	276.21770846	57577	0.951859015688803	46341	0.804852632127412
"15hilhmc"	"fungi"	"522"	"15hilhmc.fungi.522"	248.8592533405	58822	276.533257167	56018	0.952330760599776	47155	0.841782998321968
"15hilhmc"	"fungi"	"525"	"15hilhmc.fungi.525"	247.966760677	29784	355.440179322	24983	0.838806070373355	14802	0.592482888364088
"15hilhmc"	"fungi"	"526"	"15hilhmc.fungi.526"	246.598424212	23988	337.3784244	19967	0.83237452059363	10048	0.503230330044574
"15hilhmc"	"fungi"	"530"	"15hilhmc.fungi.530"	232.225607872	80897	256.878624707	70385	0.870056986043982	27368	0.388832847907935
"15hilhmc"	"fungi"	"531"	"15hilhmc.fungi.531"	248.9809162645	81614	295.210499885	69696	0.853971132403754	60706	0.871011248852158
"15hilhmc"	"fungi"	"532"	"15hilhmc.fungi.532"	248.6248955195	63409	294.350843748	56652	0.893437840054251	49897	0.880763256372238
"15hilhmc"	"fungi"	"535"	"15hilhmc.fungi.535"	248.388293388	24909	300.263822526	23440	0.941025332209242	20248	0.86382252559727
